@sbernikoff,#MeToo https://t.co/S8sMPFEp7n,http://twitter.com/sbernikoff/status/920221313683243008,"October 17, 2017 at 03:03PM"
@AsiveZee,"RT @apbenven: Reminder that if a woman didn't post #MeToo, it doesn't mean she wasn't sexually assaulted or harassed. Survivors don't owe you their story.",http://twitter.com/AsiveZee/status/920221315054931968,"October 17, 2017 at 03:03PM"
@Lovisabackstedt,RT @jonielol: Att vi ska behöva riva upp sår o minnen för att män ska fatta när vi stått o skrikit i flera generationer. #metoo,http://twitter.com/Lovisabackstedt/status/920221319341453312,"October 17, 2017 at 03:03PM"
@psyxolotl,"#MeToo Hace dos años, cuando un señor se me plantó delante mientras caminaba por la calle y me dijo ""Lo que yo te haría"".",http://twitter.com/psyxolotl/status/920221320255811584,"October 17, 2017 at 03:03PM"
@TeeNeeDragon,RT @AniaNL: To all the women participating in #Metoo campaign yesterday and to all who chose not to... 🤗🤗🤗🤗🤗... https://t.co/H2mHS7JOo3,http://twitter.com/TeeNeeDragon/status/920221320268435456,"October 17, 2017 at 03:03PM"
@joab66,RT @mikaelgrev: Svensk media har nu bestämt sig gör att i Sverige kör vi #metooUtomCissi istället för #metoo.,http://twitter.com/joab66/status/920221320310386689,"October 17, 2017 at 03:03PM"
@SophieJR6,"RT @GraceStarling4: For those carrying their #MeToo with them silently, you are loved, cherished, and believed. You do not owe your story to anyone.",http://twitter.com/SophieJR6/status/920221320750796800,"October 17, 2017 at 03:03PM"
@queer_panic,"RT @apbenven: Reminder that if a woman didn't post #MeToo, it doesn't mean she wasn't sexually assaulted or harassed. Survivors don't owe you their story.",http://twitter.com/queer_panic/status/920221321476354048,"October 17, 2017 at 03:03PM"
@imnotanaaa,"RT @RavenStephanie: just because we don’t talk about it, doesn’t mean it didn’t happen. #MeToo",http://twitter.com/imnotanaaa/status/920221323422457856,"October 17, 2017 at 03:03PM"
@HerrSchwarz1,"RT @K3SRO: Bah, es gibt einfach so ekelhafte Menschen. Sieht man zum Beispiel, wenn man die Replies auf die #MeToo Tweets aus Versehen anguckt.",http://twitter.com/HerrSchwarz1/status/920221323707731968,"October 17, 2017 at 03:03PM"
@northcomet,1) An old “friend” went full #Trump last year. He began sending me rambling midnight pms detailing what he wanted to do to my #pussy. #MeToo,http://twitter.com/northcomet/status/920221324215173120,"October 17, 2017 at 03:03PM"
@eveyeaman,"RT @JensenAckles: For my wife, for my daughters, for all women...I stand with all of you.  This has gotta change.  #metoo #nomore",http://twitter.com/eveyeaman/status/920221324856918017,"October 17, 2017 at 03:03PM"
@elisabeth_mc2,RT @kladoink: #MeToo This is so accurate it's scary to see it summed up so succinctly https://t.co/7YrR8xJdXi,http://twitter.com/elisabeth_mc2/status/920221327268745216,"October 17, 2017 at 03:03PM"
@ChicagoGrl09,At bars / at night clubs #metoo,http://twitter.com/ChicagoGrl09/status/920221327952371712,"October 17, 2017 at 03:03PM"
@saiyadgulbaz,Alia Bhatt Biography is out! https://t.co/kRo989Bar2 #metoo #tblvsdet,http://twitter.com/saiyadgulbaz/status/920221329189691392,"October 17, 2017 at 03:03PM"
@BirgittekayserH,RT @AmericaFerrera: #MeToo https://t.co/JQRASxZ92R,http://twitter.com/BirgittekayserH/status/920221329579827200,"October 17, 2017 at 03:03PM"
@BeastyLies,"RT @Minilinkki: If you believe in equality, act of #metoo is discriminatory towards men. Harassment is not gender-locked action.",http://twitter.com/BeastyLies/status/920221331173539841,"October 17, 2017 at 03:03PM"
@VeganPaints,"RT @mrbenjaminlaw: Guys, it's our turn. 

After yesterday's endless #MeToo stories of women being abused, assaulted and harassed, today we say #HowIWillChange.",http://twitter.com/VeganPaints/status/920221333740576768,"October 17, 2017 at 03:03PM"
@Azulimperial,"RT @KamalaHarris: To everyone who has come forward with #MeToo, thank you for your courage. To all survivors, know that you are not alone.",http://twitter.com/Azulimperial/status/920221334625452032,"October 17, 2017 at 03:03PM"
@missleonyc,RT @AmericaFerrera: #MeToo https://t.co/JQRASxZ92R,http://twitter.com/missleonyc/status/920223496671723520,"October 17, 2017 at 03:12PM"
